sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.75,3.19,2.44,4.24,0,0,1,1,0,0,9.31e-05,1.336
2,366,0.94,2.00,1.07,2.14,0,0,0,1,0,0,1.76e-03,2.044
3,109,0.61,1.70,1.09,2.78,0,0,0,1,0,0,6.26e-04,2.046
4,437,0.61,2.83,2.22,4.61,0,0,1,0,1,0,1.23e-03,2.147
5,462,0.46,2.20,1.74,4.78,0,0,1,1,0,0,2.78e-04,1.909
6,22,0.33,1.45,1.12,4.43,0,0,1,1,0,0,2.38e-04,2.047
7,316,0.81,1.39,0.58,1.71,0,0,0,1,0,0,4.54e-04,1.738
8,420,0.11,1.06,0.95,9.56,0,0,1,0,0,0,2.12e-03,1.999
9,459,0.83,3.97,3.14,4.78,0,0,1,1,0,0,8.33e-04,1.728
10,97,0.30,0.83,0.53,2.73,0,0,0,1,1,0,2.74e-04,2.154
11,110,0.30,1.76,1.46,5.93,0,0,1,1,0,0,2.24e-04,1.689
12,272,0.15,0.88,0.74,6.06,0,0,1,1,1,0,7.17e-05,1.971
13,35,0.27,0.72,0.44,2.62,0,0,0,1,0,0,1.11e-02,2.487
14,481,0.16,1.12,0.96,6.92,0,0,1,0,1,0,2.91e-03,1.888
15,237,1.18,2.17,0.99,1.84,0,0,0,1,0,0,1.64e-03,2.411
16,41,0.30,1.42,1.12,4.79,0,0,1,1,1,0,4.01e-04,1.818
17,320,0.16,0.95,0.79,6.05,0,0,1,0,1,0,1.70e-03,2.083
18,240,0.81,1.23,0.42,1.52,0,0,0,1,0,0,6.74e-04,1.291
19,6,0.14,3.81,3.66,26.60,1,0,1,0,0,0,3.81e-04,2.292
20,396,0.32,2.93,2.61,9.19,0,0,1,1,0,0,8.74e-05,1.910
