sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,1.13,4.40,3.27,3.90,0,0,1,1,0,0,1.46e-04,1.612
2,366,0.80,4.79,3.98,5.95,0,0,1,1,0,0,2.18e-03,1.925
3,109,0.35,2.44,2.09,7.02,0,0,1,1,1,0,5.20e-04,1.798
4,437,0.58,3.29,2.71,5.68,0,0,1,1,0,0,2.88e-03,2.402
5,462,0.54,3.89,3.35,7.15,0,0,1,1,0,0,4.04e-04,1.770
6,22,0.74,2.12,1.38,2.86,0,0,0,1,0,0,3.95e-04,1.774
7,316,0.56,1.82,1.26,3.25,0,0,1,0,0,0,2.16e-04,1.678
8,420,0.14,3.64,3.50,25.89,0,0,1,0,0,0,8.37e-05,1.856
9,459,0.44,5.98,5.54,13.53,1,1,1,1,0,0,1.00e-03,1.658
10,97,0.39,1.80,1.42,4.64,0,0,1,0,0,0,5.49e-04,2.030
11,110,0.21,2.51,2.30,11.86,0,0,1,0,1,0,2.25e-04,1.540
12,272,0.19,4.21,4.02,22.17,0,0,1,1,0,0,2.27e-05,1.581
13,35,0.26,7.71,7.46,30.23,1,1,1,1,0,0,4.66e-05,2.043
14,481,0.10,2.43,2.33,23.96,0,0,1,0,0,0,2.47e-04,1.727
15,237,0.92,4.74,3.82,5.16,0,0,1,1,0,0,1.62e-03,2.433
16,41,0.59,1.98,1.39,3.35,0,0,1,1,0,0,6.29e-04,1.407
17,320,0.17,4.27,4.10,25.29,0,0,1,1,0,0,9.63e-04,2.294
18,240,0.88,2.88,2.00,3.27,0,0,1,1,0,0,1.16e-03,1.645
19,6,0.15,3.47,3.31,22.55,0,0,1,1,0,0,2.04e-04,2.016
20,396,0.33,2.38,2.06,7.32,0,0,1,1,0,0,1.18e-04,1.802
