sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.75,3.20,2.45,4.27,0,0,1,1,0,0,9.02e-05,1.362
2,366,0.80,4.38,3.58,5.47,1,0,1,1,0,0,2.04e-03,1.908
3,109,0.47,3.23,2.76,6.86,0,0,1,1,0,0,6.79e-04,1.953
4,437,0.56,2.96,2.40,5.25,0,0,1,0,1,0,3.33e-03,2.183
5,462,0.33,3.53,3.20,10.64,0,0,1,1,0,0,1.52e-04,1.718
6,22,0.61,1.67,1.06,2.73,0,0,0,1,0,0,2.32e-04,1.959
7,316,0.80,1.39,0.59,1.73,0,0,0,1,0,0,5.24e-04,1.669
8,420,0.16,0.63,0.46,3.85,0,0,1,1,1,0,2.95e-05,1.526
9,459,0.48,3.28,2.80,6.84,0,0,1,0,0,0,5.74e-04,1.739
10,97,0.93,2.04,1.11,2.19,0,0,0,1,0,0,2.22e-04,1.754
11,110,0.31,1.43,1.12,4.58,0,0,1,1,0,0,8.55e-05,0.671
12,272,0.15,1.01,0.86,6.81,0,0,1,1,0,0,9.21e-05,1.836
13,35,0.23,10.13,9.90,43.62,1,1,1,1,0,0,4.73e-05,2.253
14,481,0.12,1.45,1.33,12.09,0,0,1,0,0,0,2.58e-04,1.945
15,237,0.73,2.75,2.02,3.77,0,0,1,1,0,0,1.10e-03,2.358
16,41,0.30,1.42,1.12,4.79,0,0,1,1,1,0,2.16e-04,1.712
17,320,0.20,1.23,1.03,6.04,0,0,1,0,0,0,1.70e-03,2.087
18,240,0.79,1.50,0.71,1.90,0,0,0,0,0,0,1.25e-03,1.638
19,6,0.11,1.68,1.56,14.68,0,0,1,1,0,0,3.55e-04,2.248
20,396,0.34,2.46,2.12,7.17,0,0,1,0,0,0,1.35e-04,2.114
21,14,0.24,3.40,3.16,14.15,0,0,1,1,0,0,1.75e-04,1.816
22,15,1.06,3.83,2.77,3.60,0,0,1,1,0,0,3.07e-03,2.007
23,16,2.08,4.27,2.19,2.05,0,0,0,1,0,0,1.03e-03,1.673
24,23,0.91,2.42,1.51,2.66,0,0,0,1,0,0,2.14e-03,2.017
25,34,1.83,6.96,5.13,3.80,1,1,1,1,0,0,4.89e-04,1.791
26,36,0.17,1.83,1.66,11.02,0,0,1,1,1,0,1.48e-05,1.748
27,49,0.40,1.46,1.06,3.62,0,0,1,0,0,0,1.84e-03,2.253
28,102,0.66,2.00,1.34,3.05,0,0,1,1,1,0,5.97e-04,2.007
29,113,0.25,1.52,1.26,6.02,0,0,1,1,1,0,1.20e-04,2.014
30,136,1.40,1.84,0.44,1.32,0,0,0,1,0,0,5.90e-05,1.052
31,137,0.31,2.53,2.22,8.11,0,0,1,1,0,0,3.07e-04,1.839
32,139,0.32,2.00,1.68,6.32,0,0,1,1,0,0,1.97e-04,1.841
33,141,0.17,2.87,2.70,16.76,0,0,1,1,0,0,3.81e-04,1.862
34,163,1.49,2.63,1.14,1.77,0,0,0,1,0,0,2.26e-04,2.278
35,175,0.46,0.88,0.42,1.92,0,0,0,0,1,0,1.50e-03,1.776
36,190,0.17,1.16,0.98,6.65,0,0,1,1,0,0,2.90e-03,2.290
37,194,0.81,1.32,0.50,1.62,0,0,0,1,0,0,1.72e-03,1.848
38,195,0.47,1.48,1.01,3.12,0,0,1,1,0,0,1.94e-04,2.153
39,275,0.78,1.51,0.73,1.95,0,0,0,1,0,0,4.09e-04,1.752
40,279,0.53,1.65,1.12,3.10,0,0,1,1,0,0,2.44e-04,1.956
41,286,0.45,1.45,1.00,3.24,0,0,1,1,1,0,1.04e-04,1.974
42,287,0.19,2.00,1.80,10.30,0,0,1,0,0,0,3.68e-03,2.274
43,300,1.37,2.08,0.71,1.51,0,0,0,0,0,0,9.41e-04,1.702
44,303,0.23,1.22,0.99,5.30,0,0,1,1,0,0,1.98e-03,1.948
45,314,1.12,2.56,1.43,2.28,0,0,0,1,0,0,1.52e-04,2.154
46,333,0.43,1.97,1.54,4.56,0,0,1,1,0,0,1.04e-04,1.787
47,431,0.47,2.81,2.34,6.00,0,0,1,1,0,0,5.27e-03,2.322
48,432,0.21,0.56,0.35,2.63,0,0,0,1,1,0,1.78e-04,1.964
49,450,0.19,1.71,1.51,8.76,0,0,1,1,1,0,8.15e-05,1.868
50,452,0.53,nan,nan,nan,0,0,0,1,0,0,1.75e-03,1.508
