sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.95,3.23,2.28,3.40,0,0,1,1,0,0,2.93e-04,1.874
2,366,0.91,2.24,1.33,2.46,0,0,0,1,0,0,1.32e-03,1.716
3,109,0.48,2.01,1.53,4.18,0,0,1,1,0,0,6.52e-04,1.925
4,437,0.93,4.49,3.56,4.83,0,0,1,1,0,0,4.27e-03,2.322
5,462,0.22,3.54,3.33,16.28,0,0,1,1,0,0,9.82e-05,1.849
6,22,0.34,1.34,1.00,3.94,0,0,1,1,0,0,3.04e-04,1.751
7,316,0.64,1.65,1.00,2.56,0,0,0,1,0,0,4.96e-04,1.945
8,420,0.20,2.83,2.64,14.50,0,0,1,1,0,0,3.31e-05,1.718
9,459,0.70,4.00,3.30,5.70,0,0,1,1,0,0,1.02e-03,1.832
10,97,0.20,2.45,2.25,12.34,0,0,1,0,0,0,1.55e-04,1.601
11,110,0.32,1.86,1.54,5.79,0,0,1,0,0,0,2.68e-04,1.761
12,272,0.27,1.88,1.61,6.99,0,0,1,1,0,0,5.33e-05,2.319
13,35,0.18,9.97,9.79,56.21,1,1,1,1,1,0,7.22e-03,2.386
14,481,0.18,1.01,0.83,5.55,0,0,1,0,0,0,2.69e-04,1.736
15,237,0.94,5.46,4.52,5.80,0,1,1,1,0,0,2.28e-04,2.236
16,41,0.51,2.14,1.63,4.18,0,0,1,1,0,0,3.81e-05,1.393
17,320,0.11,1.63,1.52,15.46,0,0,1,1,0,0,7.81e-04,2.407
18,240,1.29,3.86,2.57,2.99,0,0,0,0,0,0,9.24e-04,1.056
19,6,0.09,2.47,2.37,26.13,0,0,1,1,0,0,8.01e-05,1.882
20,396,0.58,3.92,3.34,6.75,0,0,1,1,1,0,1.62e-04,1.817
