sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.58,2.77,2.19,4.77,0,0,1,1,0,0,5.75e-05,1.388
2,366,0.90,4.70,3.80,5.21,1,0,1,1,0,0,1.73e-03,2.007
3,109,0.45,4.43,3.98,9.90,1,0,1,1,1,0,4.86e-04,1.684
4,437,0.76,4.86,4.11,6.43,1,0,1,1,0,0,1.77e-03,2.106
5,462,0.35,1.90,1.55,5.40,0,0,1,1,0,0,1.17e-04,1.733
6,22,0.35,1.82,1.47,5.17,0,0,1,1,0,0,2.86e-04,1.958
7,316,0.71,2.14,1.43,3.02,0,0,1,1,0,0,5.68e-04,1.806
8,420,0.11,0.83,0.72,7.59,0,0,1,0,0,0,1.08e-04,1.852
9,459,0.84,1.88,1.03,2.23,0,0,0,1,0,0,5.00e-04,1.696
10,97,0.47,1.38,0.91,2.96,0,0,0,1,0,0,2.24e-04,1.665
11,110,0.29,2.72,2.43,9.47,0,0,1,1,1,0,1.88e-04,1.014
12,272,0.13,1.58,1.45,11.78,0,0,1,1,0,0,1.21e-04,1.764
13,35,0.20,3.53,3.33,18.09,0,0,1,1,0,0,2.20e-05,2.107
14,481,0.06,0.58,0.52,9.69,0,0,1,1,0,0,1.67e-04,1.961
15,237,1.28,2.95,1.68,2.31,0,0,0,1,0,0,6.47e-04,2.233
16,41,0.54,0.91,0.37,1.69,0,0,0,1,0,0,3.79e-04,1.553
17,320,0.17,0.91,0.74,5.31,0,0,1,1,0,0,1.44e-03,2.149
18,240,1.04,1.76,0.72,1.69,0,0,0,0,0,0,1.44e-03,1.801
19,6,0.12,2.43,2.31,19.47,0,0,1,1,0,0,1.35e-04,1.954
20,396,0.34,2.65,2.30,7.69,0,0,1,1,0,0,9.64e-05,1.939
