sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.63,3.48,2.85,5.52,0,0,1,1,1,0,8.05e-05,1.705
2,366,0.53,2.68,2.15,5.05,0,0,1,1,0,0,9.82e-05,2.349
3,109,0.58,1.89,1.31,3.27,0,0,1,1,1,0,6.01e-04,2.014
4,437,0.95,2.28,1.33,2.40,0,0,0,1,0,0,2.94e-04,1.984
5,462,0.44,2.01,1.57,4.58,0,0,1,1,0,0,1.87e-04,2.099
6,22,0.30,2.14,1.84,7.08,0,0,1,1,0,0,5.55e-04,1.748
7,316,0.80,1.90,1.10,2.38,0,0,0,1,0,0,1.95e-04,1.992
8,420,0.26,1.60,1.34,6.15,0,0,1,1,0,0,2.17e-04,1.991
9,459,0.82,3.17,2.34,3.85,0,0,1,1,0,0,9.55e-04,1.874
10,97,0.77,1.53,0.75,1.97,0,0,0,0,0,0,1.28e-04,1.575
11,110,0.44,2.78,2.34,6.27,0,0,1,1,0,0,3.43e-04,1.885
12,272,0.08,1.15,1.07,14.54,0,0,1,0,0,0,3.85e-05,1.993
13,35,0.18,1.80,1.62,10.11,0,0,1,1,0,0,1.01e-02,2.475
14,481,0.14,0.59,0.45,4.16,0,0,1,0,0,0,1.63e-04,1.714
15,237,1.04,1.66,0.62,1.60,0,0,0,1,0,0,2.28e-03,2.346
16,41,0.48,0.99,0.51,2.07,0,0,0,1,0,0,5.78e-04,1.556
17,320,0.06,2.33,2.27,39.66,0,0,1,0,0,0,1.64e-03,2.231
18,240,0.89,1.82,0.93,2.05,0,0,0,0,0,0,8.30e-04,1.598
19,6,0.17,1.48,1.31,8.54,0,0,1,0,1,0,3.34e-04,2.131
20,396,0.17,1.71,1.54,9.94,0,0,1,0,0,0,1.15e-04,1.794
