sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.77,1.76,0.99,2.28,0,0,0,1,0,0,7.53e-05,1.188
2,366,0.53,2.67,2.14,5.03,0,0,1,1,1,0,1.88e-03,2.212
3,109,0.47,1.39,0.91,2.93,0,0,0,1,0,0,6.01e-04,1.823
4,437,0.66,3.80,3.13,5.73,0,0,1,1,0,0,1.89e-03,2.283
5,462,0.35,2.72,2.37,7.69,0,0,1,1,0,0,1.93e-04,1.924
6,22,1.07,1.59,0.51,1.48,0,0,0,1,0,0,4.34e-04,1.853
7,316,0.84,1.42,0.58,1.69,0,0,0,0,1,0,2.09e-04,1.842
8,420,0.15,0.98,0.82,6.32,0,0,1,0,1,0,1.64e-04,1.883
9,459,0.83,3.16,2.34,3.83,0,0,1,1,0,0,8.22e-04,1.777
10,97,0.50,1.67,1.18,3.37,0,0,1,1,0,0,1.78e-04,1.433
11,110,0.43,nan,nan,nan,0,0,0,1,0,0,3.24e-05,1.694
12,272,0.09,0.55,0.45,5.78,0,0,1,0,0,0,1.07e-04,1.882
13,35,0.23,3.98,3.74,16.92,1,0,1,1,0,0,8.56e-05,2.311
14,481,0.15,1.27,1.12,8.26,0,0,1,0,0,0,1.95e-04,1.813
15,237,0.55,2.96,2.41,5.34,0,0,1,1,0,0,1.52e-03,2.388
16,41,0.60,1.03,0.43,1.73,0,0,0,1,1,0,3.68e-04,1.457
17,320,0.12,2.42,2.30,20.94,0,0,1,1,0,0,1.60e-03,2.138
18,240,0.89,1.83,0.94,2.05,0,0,0,0,0,0,1.05e-03,1.563
19,6,0.22,5.32,5.10,24.61,1,1,1,1,0,0,3.13e-04,1.992
20,396,0.17,1.73,1.55,9.91,0,0,1,0,1,0,1.26e-04,2.179
21,14,0.21,2.40,2.19,11.49,0,0,1,1,0,0,1.66e-03,1.883
22,15,0.96,3.11,2.14,3.23,0,0,1,1,0,0,3.13e-03,1.767
23,16,0.51,1.76,1.25,3.45,0,0,1,1,0,0,1.24e-03,1.757
24,23,0.86,3.31,2.45,3.84,0,0,1,1,0,0,2.03e-03,2.003
25,34,1.10,3.26,2.16,2.96,0,0,0,1,1,0,4.57e-04,1.828
26,36,0.16,1.13,0.98,7.31,0,0,1,1,0,0,2.28e-05,1.739
27,49,0.38,1.41,1.03,3.71,0,0,1,0,1,0,1.62e-03,2.047
28,102,0.96,1.69,0.73,1.76,0,0,0,1,1,0,9.95e-05,1.690
29,113,0.35,1.20,0.85,3.42,0,0,1,1,1,0,5.61e-05,1.806
30,136,1.28,4.16,2.89,3.26,0,0,1,0,1,0,3.76e-04,1.508
31,137,0.35,1.71,1.36,4.88,0,0,1,1,0,0,2.94e-04,1.951
32,139,0.23,2.04,1.81,8.81,0,0,1,1,0,0,1.43e-04,1.714
33,141,0.16,1.95,1.79,12.39,0,0,1,1,1,0,4.22e-04,1.867
34,163,1.38,4.02,2.64,2.91,0,0,0,1,0,0,2.55e-04,1.864
35,175,0.29,1.38,1.09,4.75,0,0,1,1,1,0,2.10e-03,1.583
36,190,0.19,1.44,1.25,7.48,0,0,1,1,1,0,2.76e-03,2.201
37,194,1.01,1.04,0.03,1.03,0,0,0,0,0,0,2.19e-03,1.795
38,195,0.66,nan,nan,nan,0,0,0,1,0,0,1.30e-04,1.937
39,275,0.59,2.09,1.50,3.52,0,0,1,1,0,0,4.11e-04,1.869
40,279,0.87,2.85,1.98,3.29,0,0,1,0,0,0,5.03e-04,1.665
41,286,0.24,5.40,5.17,22.82,1,1,1,1,0,0,1.02e-04,1.974
42,287,0.36,1.88,1.51,5.16,0,0,1,0,0,0,3.50e-03,2.229
43,300,1.46,2.45,0.99,1.68,0,0,0,1,0,0,7.84e-04,1.896
44,303,0.31,2.28,1.97,7.34,0,0,1,1,0,0,2.69e-03,2.216
45,314,0.87,1.74,0.87,2.01,0,0,0,1,0,0,1.64e-04,2.264
46,333,0.53,2.10,1.57,3.95,0,0,1,1,1,0,2.21e-04,1.737
47,431,0.41,2.53,2.12,6.16,0,0,1,1,0,0,5.69e-03,2.286
48,432,0.16,4.55,4.38,27.83,1,0,1,0,1,0,1.29e-04,1.778
49,450,0.21,2.20,1.99,10.53,0,0,1,1,1,0,4.43e-05,2.050
50,452,0.26,1.40,1.15,5.47,0,0,1,1,1,0,1.97e-03,1.918
