sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.75,3.20,2.45,4.27,0,0,1,1,0,0,9.02e-05,1.362
2,366,0.80,4.38,3.58,5.47,1,0,1,1,0,0,2.04e-03,1.908
3,109,0.47,3.23,2.76,6.86,0,0,1,1,0,0,6.79e-04,1.953
4,437,0.56,2.96,2.40,5.25,0,0,1,0,0,0,3.33e-03,2.183
5,462,0.33,3.53,3.20,10.64,0,0,1,1,0,0,1.52e-04,1.718
6,22,0.61,1.67,1.06,2.73,0,0,0,1,0,0,2.32e-04,1.959
7,316,0.80,1.39,0.59,1.73,0,0,0,1,0,0,5.24e-04,1.669
8,420,0.16,0.63,0.46,3.85,0,0,1,1,0,0,2.95e-05,1.526
9,459,0.48,3.28,2.80,6.84,0,0,1,0,0,0,5.74e-04,1.739
10,97,0.93,2.04,1.11,2.19,0,0,0,1,0,0,2.22e-04,1.754
11,110,0.31,1.43,1.12,4.58,0,0,1,1,0,0,8.55e-05,0.671
12,272,0.15,1.01,0.86,6.81,0,0,1,1,0,0,9.21e-05,1.836
13,35,0.23,10.13,9.90,43.62,1,1,1,1,0,0,4.73e-05,2.253
14,481,0.12,1.45,1.33,12.09,0,0,1,0,0,0,2.58e-04,1.945
15,237,0.73,2.75,2.02,3.77,0,0,1,1,0,0,1.10e-03,2.358
16,41,0.30,1.42,1.12,4.79,0,0,1,1,0,0,2.16e-04,1.712
17,320,0.20,1.23,1.03,6.04,0,0,1,0,0,0,1.70e-03,2.087
18,240,0.79,1.50,0.71,1.90,0,0,0,0,0,0,1.25e-03,1.638
19,6,0.11,1.68,1.56,14.68,0,0,1,1,0,0,3.55e-04,2.248
20,396,0.34,2.46,2.12,7.17,0,0,1,0,0,0,1.35e-04,2.114
