sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.31,1.38,1.07,4.46,0,0,1,1,0,0,5.10e-03,1.984
2,366,0.39,2.38,2.00,6.13,0,0,1,1,1,0,1.24e-04,1.211
3,109,0.29,1.40,1.10,4.79,0,0,1,0,0,0,1.10e-03,1.330
4,438,0.44,1.97,1.52,4.46,0,0,1,1,0,0,4.75e-04,1.774
5,462,1.07,1.06,-0.01,0.99,0,0,0,1,1,0,1.05e-03,1.752
6,22,0.57,1.14,0.57,1.99,0,0,0,1,1,0,2.70e-03,1.542
7,316,0.29,1.30,1.01,4.42,0,0,1,1,1,0,6.73e-05,0.978
8,421,0.95,2.22,1.27,2.34,0,0,0,1,0,0,4.98e-05,1.099
9,459,1.19,3.46,2.27,2.92,0,0,0,0,0,0,7.02e-03,1.952
10,97,0.57,2.37,1.80,4.16,0,0,1,1,0,0,5.52e-04,1.739
11,110,1.04,1.62,0.58,1.56,0,0,0,0,0,0,1.04e-02,1.858
12,272,0.24,1.69,1.45,6.93,0,0,1,0,1,0,3.84e-05,1.774
13,35,0.27,1.92,1.65,7.16,0,0,1,1,0,0,4.35e-04,1.623
14,480,0.52,6.27,5.75,12.09,1,1,1,1,0,0,3.60e-05,1.502
15,237,0.31,1.12,0.82,3.68,0,0,1,0,1,0,2.47e-04,1.178
16,41,0.45,1.36,0.91,3.02,0,0,1,1,0,0,2.28e-04,1.685
17,320,0.56,3.98,3.42,7.08,0,0,1,1,1,0,1.58e-02,2.241
18,240,0.12,2.90,2.79,24.72,0,0,1,0,1,0,1.12e-04,2.027
19,6,0.35,0.69,0.34,1.96,0,0,0,1,1,0,1.86e-04,1.455
20,397,0.35,0.61,0.26,1.74,0,0,0,1,0,0,1.40e-05,1.380
