sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.16,2.51,2.35,15.43,0,0,1,1,1,0,1.34e-03,1.193
2,366,0.30,2.10,1.80,7.00,0,0,1,1,0,0,2.32e-05,1.093
3,109,0.48,4.57,4.09,9.46,1,0,1,1,1,0,5.31e-04,2.063
4,438,0.51,0.74,0.23,1.45,0,0,0,0,0,0,1.19e-04,1.106
5,462,0.41,4.30,3.90,10.57,1,0,1,0,0,0,9.59e-04,1.746
6,22,0.71,2.23,1.51,3.12,0,0,1,1,1,0,1.87e-03,1.439
7,316,0.24,4.22,3.98,17.34,1,0,1,1,0,0,1.02e-04,1.332
8,421,1.13,2.30,1.17,2.04,0,0,0,1,0,0,1.94e-03,1.545
9,459,0.87,3.16,2.29,3.62,0,0,1,0,0,0,4.06e-04,1.165
10,97,0.37,2.91,2.54,7.80,0,0,1,1,1,0,2.84e-04,1.731
11,110,1.03,4.22,3.19,4.08,0,0,1,1,0,0,1.01e-02,1.589
12,272,0.18,3.87,3.68,21.27,0,0,1,1,0,0,1.11e-05,1.724
13,35,0.46,4.40,3.93,9.48,1,0,1,1,0,0,1.35e-04,1.684
14,480,0.39,5.49,5.10,14.05,1,1,1,0,0,0,1.08e-05,1.386
15,237,0.39,1.22,0.83,3.12,0,0,1,1,0,0,1.26e-03,1.829
16,41,0.45,1.15,0.71,2.58,0,0,0,0,0,0,9.18e-06,0.896
17,320,0.76,4.04,3.28,5.33,0,0,1,1,1,0,1.21e-02,1.672
18,240,0.32,1.24,0.92,3.87,0,0,1,0,1,0,1.59e-05,1.662
19,6,0.36,0.78,0.42,2.18,0,0,0,1,0,0,6.83e-05,1.422
20,397,0.46,0.81,0.35,1.77,0,0,0,0,0,0,4.42e-05,1.157
