sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.29,4.79,4.50,16.40,1,0,1,1,1,0,6.65e-03,1.561
2,366,0.39,2.38,2.00,6.13,0,0,1,1,0,0,3.26e-04,1.611
3,109,0.35,2.77,2.41,7.85,0,0,1,1,1,0,1.72e-03,2.019
4,438,0.44,2.24,1.80,5.06,0,0,1,1,0,0,5.76e-05,1.051
5,462,1.05,4.82,3.77,4.61,1,0,1,1,1,0,9.55e-04,1.575
6,22,0.54,3.89,3.35,7.23,0,0,1,1,0,0,3.68e-03,1.852
7,316,0.12,4.15,4.04,35.45,1,0,1,0,1,0,9.58e-05,0.853
8,421,0.95,2.88,1.93,3.03,0,0,1,1,1,0,1.40e-03,1.581
9,459,1.19,3.46,2.27,2.92,0,0,0,0,1,0,3.14e-03,1.837
10,97,0.46,2.14,1.68,4.69,0,0,1,1,1,0,7.94e-04,1.811
11,110,1.27,1.21,-0.06,0.96,0,0,0,1,0,0,1.11e-02,1.789
12,272,0.38,12.49,12.11,32.54,1,1,1,1,0,0,1.13e-04,1.532
13,35,0.23,2.94,2.71,12.90,0,0,1,0,1,0,5.68e-04,1.514
14,480,0.11,1.25,1.14,11.74,0,0,1,0,1,0,3.65e-05,1.540
15,237,0.24,1.49,1.25,6.19,0,0,1,0,1,0,1.17e-03,1.661
16,41,0.40,6.06,5.65,15.03,1,1,1,1,1,0,1.47e-04,1.436
17,320,0.78,4.48,3.70,5.72,1,0,1,1,0,0,1.30e-02,1.799
18,240,0.18,1.96,1.77,10.70,0,0,1,1,1,0,3.63e-05,1.547
19,6,0.26,8.35,8.09,32.65,1,1,1,1,1,0,1.66e-03,1.770
20,397,0.33,0.97,0.65,2.98,0,0,0,1,0,0,4.09e-04,1.567
21,14,0.67,2.48,1.80,3.68,0,0,1,1,0,0,2.04e-04,1.516
22,15,0.18,2.41,2.23,13.57,0,0,1,1,0,0,4.34e-03,1.675
23,16,0.27,0.74,0.47,2.74,0,0,0,1,0,0,4.44e-04,1.378
24,23,0.23,1.45,1.22,6.32,0,0,1,0,1,0,7.90e-04,1.581
25,34,0.84,2.42,1.58,2.87,0,0,0,0,1,0,2.06e-04,1.551
26,36,0.24,1.30,1.05,5.30,0,0,1,1,1,0,4.15e-04,1.438
27,49,0.69,1.88,1.20,2.75,0,0,0,1,0,0,8.90e-05,1.548
28,102,0.66,1.72,1.06,2.60,0,0,0,0,1,0,9.34e-04,1.221
29,113,1.27,3.01,1.73,2.36,0,0,0,1,1,0,1.47e-03,1.636
30,136,0.31,3.23,2.92,10.28,0,0,1,1,1,0,2.23e-06,0.753
31,137,0.50,1.82,1.32,3.61,0,0,1,1,1,0,1.80e-04,1.230
32,139,0.14,1.60,1.46,11.34,0,0,1,0,0,0,2.83e-03,1.698
33,141,0.70,2.31,1.61,3.28,0,0,1,1,0,0,2.35e-03,1.729
34,163,0.48,2.83,2.35,5.88,0,0,1,1,0,0,2.51e-03,1.678
35,175,0.67,2.40,1.73,3.60,0,0,1,1,0,0,4.26e-05,1.253
36,190,0.22,1.15,0.93,5.30,0,0,1,1,1,0,2.78e-04,1.755
37,194,0.26,4.47,4.20,16.95,1,0,1,1,0,0,4.24e-05,1.262
38,195,1.25,3.06,1.81,2.45,0,0,0,1,0,0,9.66e-04,1.659
39,275,1.79,8.99,7.20,5.01,1,1,1,0,0,0,3.83e-04,2.108
40,279,1.26,5.45,4.19,4.32,1,1,1,1,1,0,3.59e-04,1.311
41,286,0.52,3.05,2.53,5.83,0,0,1,0,0,0,5.50e-03,1.770
42,287,0.77,1.91,1.14,2.49,0,0,0,1,0,0,1.42e-03,1.753
43,300,1.36,2.40,1.03,1.76,0,0,0,1,1,0,1.51e-03,1.976
44,303,0.29,2.07,1.77,7.08,0,0,1,1,1,0,1.11e-03,1.605
45,314,0.48,3.42,2.93,7.06,0,0,1,1,0,0,3.14e-05,1.338
46,333,0.37,1.55,1.19,4.24,0,0,1,0,1,0,5.23e-04,1.540
47,432,0.58,4.06,3.48,6.99,1,0,1,1,1,0,9.76e-04,1.870
48,433,0.65,2.51,1.85,3.84,0,0,1,1,0,0,1.22e-03,1.425
49,450,0.60,9.78,9.18,16.33,1,1,1,1,1,0,1.03e-04,1.400
50,452,0.80,1.92,1.12,2.41,0,0,0,1,0,0,5.53e-05,1.765
