sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.19,2.26,2.07,11.79,0,0,1,0,0,0,5.29e-03,1.938
2,366,0.56,2.67,2.11,4.80,0,0,1,1,1,0,1.76e-05,1.066
3,109,0.47,1.87,1.39,3.95,0,0,1,1,0,0,2.11e-03,1.952
4,438,0.54,4.08,3.54,7.51,1,0,1,1,0,0,6.39e-05,1.607
5,462,0.97,1.27,0.30,1.31,0,0,0,1,0,0,1.12e-03,1.881
6,22,0.58,0.84,0.26,1.45,0,0,0,0,1,0,3.24e-03,1.639
7,316,0.24,0.89,0.65,3.70,0,0,1,0,1,0,1.23e-04,1.438
8,421,0.84,2.24,1.39,2.65,0,0,0,1,0,0,5.70e-05,1.311
9,459,1.30,2.63,1.33,2.02,0,0,0,1,0,0,7.43e-05,0.739
10,97,0.66,3.57,2.90,5.37,0,0,1,1,0,0,1.04e-03,2.088
11,110,0.81,1.55,0.73,1.90,0,0,0,0,0,0,1.27e-02,1.872
12,272,0.21,2.04,1.84,9.92,0,0,1,1,0,0,1.25e-05,1.217
13,35,0.38,2.25,1.87,5.91,0,0,1,1,0,0,3.53e-04,1.670
14,480,0.38,3.29,2.91,8.71,0,0,1,1,0,0,4.21e-04,1.582
15,237,0.30,1.11,0.81,3.72,0,0,1,0,1,0,1.56e-04,1.272
16,41,0.42,1.01,0.59,2.39,0,0,0,0,0,0,1.21e-05,1.354
17,320,0.60,2.25,1.66,3.78,0,0,1,1,0,0,1.21e-02,2.126
18,240,0.16,2.86,2.70,18.03,0,0,1,1,0,0,1.89e-05,1.217
19,6,0.21,0.90,0.69,4.35,0,0,1,1,0,0,6.19e-04,1.322
20,397,0.51,1.73,1.22,3.37,0,0,1,1,0,0,2.53e-06,0.979
