sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.21,1.96,1.75,9.44,0,0,1,1,1,0,1.36e-03,1.222
2,366,0.51,3.14,2.63,6.17,0,0,1,1,0,0,4.20e-05,1.329
3,109,0.29,1.05,0.75,3.56,0,0,1,0,1,0,4.58e-04,1.783
4,438,0.32,0.87,0.54,2.67,0,0,0,1,0,0,1.52e-04,1.263
5,462,0.38,4.12,3.74,10.80,1,0,1,1,0,0,6.13e-04,1.611
6,22,0.71,2.83,2.12,4.00,0,0,1,1,0,0,2.52e-03,1.434
7,316,0.18,3.95,3.77,21.92,1,0,1,0,0,0,5.84e-05,0.648
8,421,0.91,1.35,0.44,1.49,0,0,0,1,0,0,1.54e-03,1.662
9,459,1.04,3.73,2.70,3.60,0,0,1,0,1,0,3.45e-04,1.302
10,97,0.42,2.31,1.89,5.51,0,0,1,1,0,0,1.71e-04,2.008
11,110,1.08,3.51,2.43,3.25,0,0,1,1,0,0,1.16e-02,1.688
12,272,0.23,1.60,1.36,6.86,0,0,1,0,1,0,7.04e-06,1.455
13,35,0.30,2.54,2.25,8.62,0,0,1,1,0,0,1.77e-04,1.687
14,480,0.27,16.77,16.49,61.14,1,1,1,1,0,0,1.97e-05,1.353
15,237,0.26,3.65,3.39,14.16,0,0,1,1,0,0,1.17e-03,1.540
16,41,0.47,1.33,0.86,2.84,0,0,0,0,1,0,9.47e-06,0.989
17,320,0.51,6.60,6.09,12.96,1,1,1,0,1,0,1.50e-02,1.983
18,240,0.19,1.28,1.09,6.84,0,0,1,0,0,0,4.24e-06,1.333
19,6,0.30,2.06,1.76,6.97,0,0,1,1,0,0,2.53e-05,1.545
20,397,0.43,1.37,0.94,3.19,0,0,1,1,0,0,2.18e-04,1.407
