sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.24,6.98,6.74,29.47,1,1,1,1,1,0,5.21e-03,1.719
2,366,0.49,2.14,1.65,4.39,0,0,1,1,0,0,5.33e-05,1.134
3,109,0.33,0.94,0.62,2.89,0,0,0,1,1,0,2.05e-03,1.781
4,438,0.57,0.76,0.20,1.35,0,0,0,1,1,0,1.50e-04,1.225
5,462,1.01,4.71,3.70,4.68,1,0,1,0,1,0,4.16e-04,1.372
6,22,0.40,1.60,1.20,3.96,0,0,1,1,0,0,3.23e-03,1.334
7,316,0.13,4.00,3.87,29.83,1,0,1,0,1,0,1.38e-04,1.283
8,421,1.00,2.40,1.40,2.40,0,0,0,1,1,0,4.89e-03,1.624
9,459,1.39,3.46,2.06,2.48,0,0,0,0,1,0,2.94e-03,1.925
10,97,0.86,7.34,6.48,8.50,1,1,1,1,0,0,9.69e-04,1.777
11,110,1.03,2.46,1.43,2.40,0,0,0,1,0,0,1.01e-02,1.751
12,272,0.26,2.89,2.63,11.12,0,0,1,1,0,0,1.76e-05,1.368
13,35,0.42,1.59,1.17,3.81,0,0,1,1,1,0,3.92e-04,1.485
14,480,0.18,2.25,2.07,12.47,0,0,1,0,0,0,2.99e-05,1.535
15,237,0.48,1.17,0.70,2.46,0,0,0,0,1,0,1.05e-04,1.516
16,41,0.73,0.79,0.06,1.08,0,0,0,0,1,0,3.20e-04,1.294
17,320,0.40,1.32,0.92,3.28,0,0,1,1,0,0,1.29e-02,1.833
18,240,0.09,7.73,7.63,84.52,1,1,1,0,1,0,5.41e-04,1.662
19,6,0.32,2.33,2.00,7.19,0,0,1,0,1,0,4.11e-03,1.917
20,397,0.44,1.18,0.74,2.68,0,0,0,1,0,0,1.23e-05,1.206
21,14,0.68,2.82,2.13,4.12,0,0,1,1,0,0,2.72e-04,1.488
22,15,0.17,2.63,2.47,15.76,0,0,1,1,0,0,4.90e-03,1.799
23,16,0.29,1.51,1.21,5.13,0,0,1,1,0,0,9.63e-04,1.345
24,23,0.18,0.90,0.73,5.15,0,0,1,1,0,0,8.96e-05,1.431
25,34,1.07,4.95,3.88,4.62,1,0,1,0,1,0,1.74e-04,1.223
26,36,0.21,12.76,12.54,59.66,1,1,1,1,0,0,1.24e-04,1.568
27,49,0.87,2.74,1.87,3.15,0,0,1,1,1,0,1.71e-04,1.645
28,102,0.45,1.11,0.67,2.49,0,0,0,1,1,0,2.05e-05,0.756
29,113,1.05,3.94,2.89,3.74,0,0,1,1,0,0,3.87e-04,1.465
30,136,0.25,3.31,3.06,13.08,0,0,1,0,0,0,5.43e-05,1.249
31,137,0.52,0.90,0.38,1.74,0,0,0,1,0,0,1.81e-04,1.595
32,139,0.09,1.89,1.80,20.46,0,0,1,0,0,0,3.76e-03,1.718
33,141,0.89,3.15,2.26,3.54,0,0,1,0,0,0,2.75e-03,1.478
34,163,0.58,2.14,1.56,3.71,0,0,1,1,1,0,3.78e-03,1.714
35,175,0.65,1.42,0.77,2.20,0,0,0,0,1,0,2.99e-05,0.999
36,190,0.30,4.92,4.62,16.20,1,0,1,1,0,0,3.82e-04,1.774
37,194,0.45,2.46,2.02,5.51,0,0,1,1,1,0,1.55e-05,0.934
38,195,1.22,7.16,5.95,5.90,1,1,1,0,1,0,2.09e-03,2.069
39,275,1.37,2.09,0.72,1.53,0,0,0,1,0,0,1.01e-03,1.671
40,279,0.98,6.08,5.10,6.22,1,1,1,1,1,0,2.16e-04,1.579
41,286,0.35,3.34,2.98,9.47,0,0,1,1,0,0,5.81e-03,1.912
42,287,0.56,3.04,2.48,5.45,0,0,1,1,0,0,1.20e-03,1.771
43,300,1.64,3.21,1.57,1.96,0,0,0,1,1,0,1.68e-03,1.697
44,303,0.26,4.70,4.44,17.98,1,0,1,1,1,0,9.60e-05,1.767
45,314,0.53,5.36,4.83,10.09,1,1,1,1,0,0,1.40e-03,1.943
46,333,0.59,3.35,2.76,5.70,0,0,1,0,1,0,5.25e-04,1.668
47,432,0.78,4.80,4.03,6.18,1,0,1,1,0,0,6.78e-05,1.498
48,433,0.59,1.08,0.49,1.82,0,0,0,0,1,0,1.49e-03,1.642
49,450,0.91,2.04,1.13,2.24,0,0,0,1,1,0,7.33e-05,1.533
50,452,1.23,8.95,7.71,7.25,1,1,1,1,0,0,5.01e-05,1.554
