sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.24,6.98,6.74,29.47,1,1,1,1,1,0,5.21e-03,1.719
2,366,0.49,2.14,1.65,4.39,0,0,1,1,0,0,5.33e-05,1.134
3,109,0.33,0.94,0.62,2.89,0,0,0,1,0,0,2.05e-03,1.781
4,438,0.57,0.76,0.20,1.35,0,0,0,1,1,0,1.50e-04,1.225
5,462,1.01,4.71,3.70,4.68,1,0,1,0,1,0,4.16e-04,1.372
6,22,0.40,1.60,1.20,3.96,0,0,1,1,0,0,3.23e-03,1.334
7,316,0.13,4.00,3.87,29.83,1,0,1,0,1,0,1.38e-04,1.283
8,421,1.00,2.40,1.40,2.40,0,0,0,1,0,0,4.89e-03,1.624
9,459,1.39,3.46,2.06,2.48,0,0,0,0,0,0,2.94e-03,1.925
10,97,0.86,7.34,6.48,8.50,1,1,1,1,0,0,9.69e-04,1.777
11,110,1.03,2.46,1.43,2.40,0,0,0,1,0,0,1.01e-02,1.751
12,272,0.26,2.89,2.63,11.12,0,0,1,1,0,0,1.76e-05,1.368
13,35,0.42,1.59,1.17,3.81,0,0,1,1,1,0,3.92e-04,1.485
14,480,0.18,2.25,2.07,12.47,0,0,1,0,0,0,2.99e-05,1.535
15,237,0.48,1.17,0.70,2.46,0,0,0,0,0,0,1.05e-04,1.516
16,41,0.73,0.79,0.06,1.08,0,0,0,0,1,0,3.20e-04,1.294
17,320,0.40,1.32,0.92,3.28,0,0,1,1,0,0,1.29e-02,1.833
18,240,0.09,7.73,7.63,84.52,1,1,1,0,0,0,5.41e-04,1.662
19,6,0.32,2.33,2.00,7.19,0,0,1,0,1,0,4.11e-03,1.917
20,397,0.44,1.18,0.74,2.68,0,0,0,1,0,0,1.23e-05,1.206
