sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.29,4.79,4.50,16.40,1,0,1,1,0,0,6.65e-03,1.561
2,366,0.39,2.38,2.00,6.13,0,0,1,1,0,0,3.26e-04,1.611
3,109,0.35,2.77,2.41,7.85,0,0,1,1,0,0,1.72e-03,2.019
4,438,0.44,2.24,1.80,5.06,0,0,1,1,0,0,5.76e-05,1.051
5,462,1.05,4.82,3.77,4.61,1,0,1,1,1,0,9.55e-04,1.575
6,22,0.54,3.89,3.35,7.23,0,0,1,1,0,0,3.68e-03,1.852
7,316,0.12,4.15,4.04,35.45,1,0,1,0,1,0,9.58e-05,0.853
8,421,0.95,2.88,1.93,3.03,0,0,1,1,0,0,1.40e-03,1.581
9,459,1.19,3.46,2.27,2.92,0,0,0,0,0,0,3.14e-03,1.837
10,97,0.46,2.14,1.68,4.69,0,0,1,1,0,0,7.94e-04,1.811
11,110,1.27,1.21,-0.06,0.96,0,0,0,1,0,0,1.11e-02,1.789
12,272,0.38,12.49,12.11,32.54,1,1,1,1,0,0,1.13e-04,1.532
13,35,0.23,2.94,2.71,12.90,0,0,1,0,1,0,5.68e-04,1.514
14,480,0.11,1.25,1.14,11.74,0,0,1,0,1,0,3.65e-05,1.540
15,237,0.24,1.49,1.25,6.19,0,0,1,0,1,0,1.17e-03,1.661
16,41,0.40,6.06,5.65,15.03,1,1,1,1,0,0,1.47e-04,1.436
17,320,0.78,4.48,3.70,5.72,1,0,1,1,0,0,1.30e-02,1.799
18,240,0.18,1.96,1.77,10.70,0,0,1,1,1,0,3.63e-05,1.547
19,6,0.26,8.35,8.09,32.65,1,1,1,1,1,0,1.66e-03,1.770
20,397,0.33,0.97,0.65,2.98,0,0,0,1,0,0,4.09e-04,1.567
