sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,187,1.58,1.52,-0.06,0.96,0,0,0,1,0,0,2.59e-04,0.736
2,376,0.96,2.27,1.31,2.36,0,0,0,1,0,0,9.43e-04,1.474
3,325,1.05,1.51,0.46,1.44,0,0,0,1,0,0,2.59e-03,1.524
4,449,1.14,0.95,-0.19,0.83,0,0,0,0,1,0,3.67e-03,1.588
5,474,0.31,0.30,-0.01,0.96,0,0,0,0,1,0,5.95e-03,1.814
6,24,0.76,1.16,0.39,1.51,0,0,0,1,0,0,3.98e-04,0.929
7,443,2.18,4.23,2.05,1.94,0,0,0,1,0,0,1.62e-03,1.671
8,25,2.73,1.55,-1.18,0.57,0,0,0,1,0,0,3.96e-03,1.406
9,471,0.28,0.33,0.05,1.18,0,0,0,0,1,0,2.18e-03,1.566
10,99,0.78,1.27,0.49,1.63,0,0,0,1,0,0,3.88e-03,1.679
11,112,1.13,1.08,-0.05,0.96,0,0,0,0,1,0,2.07e-03,1.325
12,431,1.39,0.89,-0.50,0.64,0,0,0,0,1,0,6.11e-04,0.921
13,37,1.25,1.41,0.16,1.13,0,0,0,1,0,0,6.46e-04,1.132
14,481,1.15,2.26,1.11,1.96,0,0,0,0,0,0,8.13e-04,0.983
15,244,1.57,1.66,0.09,1.06,0,0,0,0,0,0,8.73e-04,0.759
16,43,0.17,0.42,0.25,2.47,0,0,0,0,0,0,2.13e-03,1.864
17,329,0.14,0.16,0.02,1.16,0,0,0,0,0,0,3.11e-03,1.751
18,247,3.85,5.93,2.08,1.54,0,1,0,0,0,0,2.79e-03,1.730
19,6,1.36,1.67,0.31,1.23,0,0,0,0,0,0,1.80e-03,1.334
20,406,2.07,6.73,4.66,3.25,1,1,1,1,0,0,3.79e-03,1.896
