sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,187,0.77,1.30,0.53,1.69,0,0,0,1,0,0,1.22e-03,1.267
2,376,0.84,2.07,1.24,2.48,0,0,0,1,1,0,1.67e-03,1.449
3,325,0.68,1.13,0.45,1.67,0,0,0,1,1,0,1.46e-03,1.078
4,449,0.98,0.65,-0.33,0.67,0,0,0,1,0,0,2.71e-02,1.631
5,474,0.28,0.60,0.33,2.17,0,0,0,0,1,0,3.70e-03,1.641
6,24,0.95,1.18,0.23,1.24,0,0,0,0,0,0,6.17e-11,0.000
7,443,3.70,4.06,0.36,1.10,0,0,0,1,0,0,3.58e-02,1.770
8,25,2.49,4.08,1.58,1.64,0,0,0,1,0,0,2.72e-03,1.496
9,471,0.28,0.59,0.31,2.09,0,0,0,1,1,0,2.03e-03,1.148
10,99,0.73,1.08,0.35,1.47,0,0,0,1,0,0,3.32e-03,1.874
11,112,1.21,1.72,0.51,1.43,0,0,0,1,0,0,1.70e-03,1.303
12,431,1.44,1.75,0.31,1.21,0,0,0,1,0,0,4.96e-04,1.207
13,37,1.11,0.98,-0.13,0.88,0,0,0,1,0,0,9.52e-04,1.507
14,481,0.90,1.45,0.56,1.62,0,0,0,0,0,0,1.53e-03,1.296
15,244,1.36,2.37,1.01,1.74,0,0,0,0,0,0,1.63e-02,2.042
16,43,0.21,0.39,0.19,1.92,0,0,0,0,1,0,1.08e-02,1.555
17,329,0.21,0.28,0.06,1.31,0,0,0,0,1,0,3.71e-03,1.410
18,247,3.32,7.29,3.97,2.19,1,1,0,1,0,0,2.06e-03,1.428
19,6,1.16,1.42,0.25,1.22,0,0,0,1,0,0,1.56e-03,0.873
20,406,1.70,3.86,2.16,2.27,0,0,0,1,0,0,6.19e-03,1.754
