sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,187,1.58,1.52,-0.06,0.96,0,0,0,1,0,0,1.32e-03,1.244
2,376,0.96,2.27,1.31,2.36,0,0,0,1,1,0,1.23e-03,1.241
3,325,1.05,1.51,0.46,1.44,0,0,0,1,0,0,1.06e-03,1.442
4,449,1.14,0.95,-0.19,0.83,0,0,0,0,1,0,3.67e-03,1.626
5,474,0.31,0.31,0.00,1.01,0,0,0,0,1,0,3.58e-03,1.621
6,24,0.76,1.16,0.39,1.51,0,0,0,1,1,0,5.04e-04,1.036
7,443,2.58,3.86,1.27,1.49,0,0,0,1,0,0,1.65e-03,1.699
8,25,2.73,1.55,-1.18,0.57,0,0,0,1,0,0,3.06e-03,1.474
9,471,0.28,0.32,0.04,1.13,0,0,0,0,1,0,2.37e-03,1.318
10,99,0.78,1.27,0.49,1.63,0,0,0,1,0,0,5.03e-03,2.111
11,112,1.13,1.08,-0.05,0.96,0,0,0,0,1,0,2.33e-03,1.456
12,431,1.39,0.89,-0.50,0.64,0,0,0,0,1,0,6.11e-04,0.906
13,37,1.25,1.41,0.16,1.13,0,0,0,1,0,0,1.12e-03,1.638
14,481,1.15,2.26,1.11,1.96,0,0,0,0,1,0,8.52e-04,1.508
15,244,1.57,1.66,0.09,1.06,0,0,0,0,0,0,7.39e-04,0.737
16,43,0.16,0.42,0.26,2.67,0,0,0,0,0,0,2.07e-03,1.813
17,329,0.14,0.16,0.02,1.17,0,0,0,0,0,0,3.99e-03,1.511
18,247,3.85,5.93,2.08,1.54,0,1,0,0,0,0,2.42e-03,1.575
19,6,1.36,1.67,0.31,1.23,0,0,0,0,1,0,2.05e-03,0.802
20,406,2.07,6.73,4.66,3.25,1,1,1,1,0,0,3.50e-03,1.430
21,15,1.03,1.35,0.32,1.32,0,0,0,1,0,0,4.59e-04,0.884
22,17,0.75,0.86,0.11,1.15,0,0,0,1,1,0,6.46e-10,0.003
23,18,1.55,2.54,0.99,1.64,0,0,0,1,0,0,2.03e-03,1.934
24,36,2.08,3.21,1.13,1.54,0,0,0,1,1,0,1.46e-03,0.848
25,38,1.35,3.20,1.85,2.37,0,0,0,1,1,0,4.76e-03,1.427
26,51,1.90,2.50,0.60,1.32,0,0,0,1,0,0,2.46e-03,1.889
27,59,1.00,0.81,-0.19,0.81,0,0,0,0,1,0,2.01e-03,0.799
28,104,1.62,1.92,0.30,1.19,0,0,0,0,1,0,8.88e-04,1.119
29,111,1.85,2.08,0.23,1.12,0,0,0,0,1,0,3.54e-08,0.021
30,115,4.51,6.80,2.29,1.51,0,1,0,0,1,0,1.18e-03,1.607
31,138,3.03,3.50,0.47,1.16,0,0,0,0,1,0,1.62e-04,0.947
32,139,1.40,2.78,1.38,1.99,0,0,0,1,0,0,6.30e-03,1.821
33,141,1.60,1.83,0.23,1.14,0,0,0,1,0,0,7.75e-04,1.171
34,143,1.25,1.66,0.41,1.33,0,0,0,1,1,0,9.78e-04,1.524
35,166,1.21,2.04,0.83,1.68,0,0,0,1,0,0,4.20e-03,1.958
36,180,1.49,2.86,1.37,1.92,0,0,0,1,0,0,9.01e-03,1.723
37,196,0.30,0.34,0.04,1.13,0,0,0,1,1,0,1.78e-03,1.628
38,200,3.77,5.49,1.72,1.46,0,1,0,0,1,0,7.70e-04,1.713
39,201,2.86,5.15,2.29,1.80,0,1,0,1,1,0,5.39e-03,1.792
40,281,1.81,9.35,7.54,5.18,1,1,1,1,0,0,3.16e-03,1.448
41,284,0.86,0.88,0.03,1.03,0,0,0,1,1,0,5.14e-04,1.242
42,288,0.26,0.92,0.66,3.55,0,0,1,1,0,0,6.18e-04,1.668
43,295,0.47,0.92,0.45,1.96,0,0,0,0,0,0,2.23e-03,1.626
44,296,1.18,1.72,0.54,1.45,0,0,0,1,0,0,2.14e-03,1.400
45,309,0.73,1.03,0.29,1.40,0,0,0,1,0,0,7.94e-04,1.347
46,312,0.62,0.51,-0.11,0.82,0,0,0,1,1,0,9.73e-04,1.304
47,323,3.21,4.35,1.13,1.35,0,0,0,1,1,0,5.78e-04,1.509
48,342,3.02,2.32,-0.69,0.77,0,0,0,1,1,0,2.58e-03,1.714
49,442,0.43,0.57,0.14,1.32,0,0,0,1,1,0,1.68e-03,0.954
50,462,1.71,2.81,1.10,1.64,0,0,0,1,0,0,2.16e-03,1.776
