sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,187,1.02,0.92,-0.11,0.90,0,0,0,1,0,0,3.54e-04,1.058
2,376,0.82,1.84,1.02,2.24,0,0,0,1,1,0,9.82e-04,1.472
3,325,1.01,1.20,0.19,1.19,0,0,0,1,1,0,2.05e-03,1.621
4,449,0.94,1.61,0.67,1.72,0,0,0,0,1,0,3.73e-03,1.463
5,474,0.38,0.29,-0.09,0.77,0,0,0,0,1,0,3.58e-03,1.848
6,24,0.96,1.47,0.52,1.54,0,0,0,0,0,0,3.33e-04,1.075
7,443,1.69,2.95,1.26,1.74,0,0,0,1,0,0,1.91e-03,1.283
8,25,3.10,4.37,1.28,1.41,0,0,0,1,0,0,3.43e-03,1.423
9,471,0.24,0.53,0.29,2.20,0,0,0,1,1,0,1.49e-03,1.723
10,99,0.50,1.70,1.19,3.37,0,0,1,1,0,0,7.63e-04,1.479
11,112,1.00,1.05,0.05,1.05,0,0,0,0,1,0,2.11e-03,1.431
12,431,1.19,1.13,-0.06,0.95,0,0,0,0,1,0,6.12e-11,0.000
13,37,1.39,2.05,0.65,1.47,0,0,0,0,0,0,9.33e-04,1.417
14,481,1.30,1.17,-0.13,0.90,0,0,0,0,0,0,1.12e-03,1.070
15,244,1.43,1.93,0.50,1.35,0,0,0,1,0,0,8.92e-04,1.088
16,43,0.15,0.22,0.07,1.47,0,0,0,0,1,0,3.39e-03,1.942
17,329,0.20,0.18,-0.01,0.94,0,0,0,0,1,0,2.59e-03,1.650
18,247,4.63,7.75,3.11,1.67,0,1,0,1,0,0,2.42e-03,1.725
19,6,1.43,1.86,0.42,1.30,0,0,0,1,0,0,1.54e-03,0.889
20,406,1.99,4.55,2.56,2.29,0,0,0,1,0,0,3.28e-03,2.046
