sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,187,0.73,0.64,-0.10,0.87,0,0,0,1,0,0,1.44e-03,1.287
2,376,0.83,1.68,0.85,2.03,0,0,0,1,1,0,1.43e-03,1.438
3,325,0.92,1.45,0.54,1.58,0,0,0,1,1,0,2.57e-03,1.770
4,449,0.85,0.82,-0.03,0.96,0,0,0,0,0,0,3.90e-03,1.545
5,474,0.47,0.49,0.02,1.04,0,0,0,1,0,0,4.90e-03,1.777
6,24,0.99,1.31,0.32,1.32,0,0,0,0,0,0,6.36e-11,0.000
7,443,3.28,5.45,2.16,1.66,0,1,0,0,0,0,1.46e-03,1.590
8,25,2.72,2.82,0.10,1.04,0,0,0,1,0,0,2.06e-03,1.359
9,471,0.32,0.94,0.61,2.89,0,0,0,1,0,0,2.47e-03,1.316
10,99,0.96,1.46,0.50,1.52,0,0,0,1,0,0,4.45e-03,1.938
11,112,1.08,1.63,0.55,1.51,0,0,0,0,0,0,2.35e-03,1.147
12,431,1.44,1.28,-0.16,0.89,0,0,0,1,0,0,4.17e-06,0.459
13,37,0.99,1.00,0.01,1.01,0,0,0,1,0,0,2.93e-04,1.633
14,481,0.94,1.29,0.35,1.37,0,0,0,0,0,0,1.46e-03,1.169
15,244,1.22,2.10,0.88,1.72,0,0,0,0,0,0,9.48e-04,1.776
16,43,0.20,0.80,0.60,3.94,0,0,1,0,0,0,5.76e-04,1.672
17,329,0.27,0.30,0.03,1.11,0,0,0,0,0,0,4.43e-03,1.495
18,247,4.85,6.84,1.99,1.41,0,1,0,0,0,0,1.27e-03,1.205
19,6,1.32,1.66,0.34,1.25,0,0,0,1,0,0,3.23e-03,1.574
20,406,1.78,2.01,0.23,1.13,0,0,0,1,0,0,4.99e-03,2.029
