sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,187,1.02,0.92,-0.10,0.90,0,0,0,1,0,0,1.44e-03,1.395
2,376,0.82,1.84,1.02,2.24,0,0,0,1,1,0,8.75e-04,1.432
3,325,1.01,1.20,0.19,1.19,0,0,0,1,1,0,1.12e-03,1.555
4,449,0.94,1.61,0.68,1.72,0,0,0,0,1,0,3.73e-03,1.537
5,474,0.34,0.36,0.02,1.05,0,0,0,0,1,0,3.73e-03,1.583
6,24,0.96,1.47,0.52,1.54,0,0,0,0,0,0,1.19e-04,0.767
7,443,1.69,2.95,1.26,1.74,0,0,0,1,0,0,1.64e-03,1.677
8,25,3.10,4.37,1.28,1.41,0,0,0,1,0,0,2.69e-03,1.414
9,471,0.24,0.53,0.29,2.20,0,0,0,1,1,0,2.09e-03,1.366
10,99,0.50,1.70,1.20,3.38,0,0,1,1,0,0,4.69e-03,1.904
11,112,1.00,1.05,0.05,1.05,0,0,0,0,1,0,1.76e-03,1.543
12,431,1.19,1.13,-0.06,0.95,0,0,0,0,1,0,8.16e-11,0.000
13,37,1.39,2.05,0.65,1.47,0,0,0,0,0,0,5.51e-04,1.164
14,481,1.30,1.17,-0.13,0.90,0,0,0,0,0,0,9.52e-04,1.155
15,244,1.43,1.93,0.50,1.35,0,0,0,1,0,0,8.93e-04,1.437
16,43,0.14,0.26,0.11,1.77,0,0,0,0,1,0,1.26e-03,1.668
17,329,0.17,0.12,-0.05,0.68,0,0,0,0,1,0,2.67e-04,1.383
18,247,4.63,7.75,3.11,1.67,0,1,0,1,0,0,2.57e-03,1.608
19,6,1.43,1.86,0.42,1.30,0,0,0,1,0,0,1.12e-03,0.908
20,406,1.99,4.55,2.56,2.29,0,0,0,1,0,0,4.47e-03,1.624
