sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,187,0.91,1.68,0.76,1.83,0,0,0,1,0,0,1.37e-03,1.359
2,376,0.90,1.61,0.72,1.80,0,0,0,1,1,0,6.01e-04,1.070
3,325,0.76,1.51,0.75,1.98,0,0,0,1,1,0,1.88e-03,1.364
4,449,1.00,0.71,-0.30,0.71,0,0,0,1,0,0,3.78e-03,1.618
5,474,0.32,0.24,-0.08,0.76,0,0,0,0,1,0,6.15e-03,1.792
6,24,0.86,2.48,1.62,2.88,0,0,0,1,1,0,5.13e-04,1.078
7,443,1.47,1.99,0.53,1.36,0,0,0,1,0,0,1.85e-03,1.573
8,25,2.68,2.62,-0.05,0.98,0,0,0,1,1,0,2.97e-03,1.482
9,471,0.25,0.57,0.33,2.33,0,0,0,0,1,0,2.61e-03,1.334
10,99,1.25,1.86,0.60,1.48,0,0,0,1,0,0,4.18e-03,1.912
11,112,1.15,1.02,-0.14,0.88,0,0,0,0,0,0,2.26e-03,1.094
12,431,1.16,1.41,0.25,1.21,0,0,0,0,1,0,6.20e-04,0.957
13,37,1.03,0.89,-0.15,0.86,0,0,0,1,0,0,1.05e-03,1.802
14,481,1.57,1.28,-0.29,0.81,0,0,0,0,0,0,6.95e-04,1.371
15,244,1.34,2.22,0.88,1.66,0,0,0,0,1,0,1.61e-03,1.088
16,43,0.17,0.25,0.08,1.44,0,0,0,0,0,0,1.55e-03,1.767
17,329,0.18,0.16,-0.02,0.89,0,0,0,0,1,0,5.06e-03,1.629
18,247,3.72,6.13,2.41,1.65,0,1,0,0,1,0,2.35e-03,1.182
19,6,1.27,1.42,0.15,1.12,0,0,0,0,1,0,1.50e-03,1.286
20,406,3.36,5.24,1.88,1.56,0,1,0,0,0,0,3.50e-03,1.867
21,15,0.93,2.35,1.42,2.53,0,0,0,1,0,0,4.18e-04,1.120
22,17,0.56,1.48,0.92,2.66,0,0,0,1,1,0,9.82e-05,0.742
23,18,1.61,2.45,0.84,1.52,0,0,0,1,1,0,2.50e-03,1.941
24,36,1.83,2.62,0.79,1.43,0,0,0,1,1,0,1.54e-03,1.245
25,38,1.30,2.67,1.37,2.06,0,0,0,1,1,0,9.89e-04,1.018
26,51,1.55,2.34,0.79,1.51,0,0,0,1,0,0,2.99e-03,1.858
27,59,0.98,1.40,0.42,1.42,0,0,0,0,1,0,1.13e-03,1.054
28,104,1.66,1.16,-0.51,0.70,0,0,0,0,1,0,1.30e-03,1.623
29,111,1.59,1.26,-0.33,0.80,0,0,0,0,0,0,7.13e-11,0.000
30,115,4.59,6.48,1.89,1.41,0,1,0,1,0,0,1.29e-03,1.460
31,138,2.93,3.15,0.22,1.07,0,0,0,0,1,0,5.20e-04,1.389
32,139,1.84,2.83,0.99,1.54,0,0,0,1,0,0,6.84e-03,2.043
33,141,1.56,2.83,1.28,1.82,0,0,0,1,0,0,1.08e-03,1.310
34,143,1.08,4.33,3.25,4.01,0,0,1,0,1,0,6.10e-04,1.538
35,166,1.47,2.92,1.45,1.98,0,0,0,1,0,0,2.31e-03,1.603
36,180,1.27,1.03,-0.24,0.81,0,0,0,0,0,0,6.79e-03,1.882
37,196,0.32,0.37,0.05,1.15,0,0,0,1,1,0,1.95e-03,1.846
38,200,3.66,5.20,1.54,1.42,0,1,0,1,1,0,7.36e-04,1.682
39,201,2.06,3.79,1.73,1.84,0,0,0,1,0,0,4.80e-03,1.795
40,281,1.37,4.92,3.55,3.59,0,0,1,0,1,0,3.08e-03,1.321
41,284,0.81,1.13,0.32,1.40,0,0,0,1,1,0,4.81e-04,1.269
42,288,0.23,0.67,0.44,2.92,0,0,0,1,0,0,1.01e-03,1.580
43,295,0.34,0.50,0.16,1.47,0,0,0,0,1,0,2.41e-03,1.466
44,296,0.83,0.61,-0.21,0.74,0,0,0,0,0,0,8.94e-04,1.481
45,309,0.84,1.16,0.32,1.38,0,0,0,1,1,0,8.84e-04,1.493
46,312,1.04,0.79,-0.25,0.76,0,0,0,1,1,0,1.72e-03,1.595
47,323,3.92,4.13,0.22,1.06,0,0,0,0,1,0,7.21e-04,1.172
48,342,1.85,2.53,0.68,1.37,0,0,0,1,0,0,2.97e-03,1.818
49,442,0.61,0.70,0.09,1.15,0,0,0,1,1,0,2.16e-03,0.865
50,462,1.46,1.99,0.52,1.36,0,0,0,1,0,0,1.77e-03,1.646
