sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,187,1.58,1.52,-0.06,0.96,0,0,0,1,0,0,1.32e-03,1.244
2,376,0.96,2.27,1.31,2.36,0,0,0,1,0,0,1.23e-03,1.241
3,325,1.05,1.51,0.46,1.44,0,0,0,1,0,0,1.06e-03,1.442
4,449,1.14,0.95,-0.19,0.83,0,0,0,0,1,0,3.67e-03,1.626
5,474,0.31,0.31,0.00,1.01,0,0,0,0,1,0,3.58e-03,1.621
6,24,0.76,1.16,0.39,1.51,0,0,0,1,0,0,5.04e-04,1.036
7,443,2.58,3.86,1.27,1.49,0,0,0,1,0,0,1.65e-03,1.699
8,25,2.73,1.55,-1.18,0.57,0,0,0,1,0,0,3.06e-03,1.474
9,471,0.28,0.32,0.04,1.13,0,0,0,0,1,0,2.37e-03,1.318
10,99,0.78,1.27,0.49,1.63,0,0,0,1,0,0,5.03e-03,2.111
11,112,1.13,1.08,-0.05,0.96,0,0,0,0,1,0,2.33e-03,1.456
12,431,1.39,0.89,-0.50,0.64,0,0,0,0,1,0,6.11e-04,0.906
13,37,1.25,1.41,0.16,1.13,0,0,0,1,0,0,1.12e-03,1.638
14,481,1.15,2.26,1.11,1.96,0,0,0,0,0,0,8.52e-04,1.508
15,244,1.57,1.66,0.09,1.06,0,0,0,0,0,0,7.39e-04,0.737
16,43,0.16,0.42,0.26,2.67,0,0,0,0,0,0,2.07e-03,1.813
17,329,0.14,0.16,0.02,1.17,0,0,0,0,0,0,3.99e-03,1.511
18,247,3.85,5.93,2.08,1.54,0,1,0,0,0,0,2.42e-03,1.575
19,6,1.36,1.67,0.31,1.23,0,0,0,0,0,0,2.05e-03,0.802
20,406,2.07,6.73,4.66,3.25,1,1,1,1,0,0,3.50e-03,1.430
