sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,190,0.10,1.65,1.55,15.75,0,0,1,0,1,0,3.39e-04,2.170
2,381,0.64,4.80,4.16,7.52,0,0,1,1,0,0,5.38e-04,2.069
3,451,0.79,4.04,3.25,5.14,0,0,1,0,0,0,1.16e-02,2.043
4,456,0.05,3.82,3.77,72.37,0,0,1,1,0,0,8.73e-04,2.376
5,482,0.12,4.63,4.51,39.46,0,0,1,1,0,0,1.91e-04,2.096
6,24,0.39,3.96,3.57,10.13,0,0,1,1,0,0,8.86e-04,1.852
7,16,0.48,4.73,4.25,9.88,0,0,1,0,0,0,1.67e-04,1.943
8,289,0.33,6.11,5.77,18.33,0,1,1,1,0,0,7.32e-05,1.507
9,327,0.47,6.63,6.16,14.23,0,1,1,1,0,0,3.72e-04,2.070
10,101,0.64,11.17,10.52,17.37,1,1,1,1,0,0,1.54e-04,2.174
11,249,0.68,7.44,6.76,10.97,0,1,1,1,0,0,6.77e-04,1.648
12,25,0.25,6.63,6.37,26.21,0,1,1,1,0,0,3.33e-04,1.725
13,37,0.75,2.58,1.83,3.45,0,0,1,1,0,0,6.05e-03,2.004
14,481,0.14,1.97,1.83,13.89,0,0,1,0,0,0,5.80e-05,1.975
15,246,0.69,9.73,9.04,14.14,0,1,1,1,0,0,2.16e-03,2.054
16,43,0.16,4.39,4.23,27.15,0,0,1,1,0,0,6.82e-04,2.100
17,333,0.51,7.36,6.85,14.31,0,1,1,1,0,0,3.29e-03,2.166
18,312,1.48,5.32,3.84,3.58,0,1,1,1,0,0,1.33e-03,2.461
19,6,0.71,5.21,4.50,7.36,0,1,1,1,0,0,1.36e-04,1.853
20,413,0.07,3.36,3.29,47.34,0,0,1,1,1,0,2.34e-04,2.090
