sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,190,0.07,1.74,1.67,24.32,0,0,1,1,0,0,2.92e-04,2.061
2,381,0.56,2.84,2.28,5.07,0,0,1,1,0,0,6.52e-04,1.947
3,451,1.22,2.74,1.52,2.25,0,0,0,1,0,0,1.35e-02,2.091
4,456,0.05,2.54,2.49,51.87,0,0,1,1,0,0,1.38e-03,2.136
5,482,0.17,7.56,7.38,43.30,0,1,1,1,0,0,1.13e-04,2.107
6,24,0.47,7.42,6.95,15.78,0,1,1,1,0,0,1.14e-03,1.970
7,16,0.47,3.26,2.79,6.89,0,0,1,1,0,0,1.42e-03,1.744
8,289,0.27,2.90,2.64,10.92,0,0,1,0,0,0,1.12e-04,1.565
9,327,0.21,5.83,5.62,27.49,0,1,1,1,0,0,4.36e-04,1.916
10,101,0.63,6.76,6.13,10.66,0,1,1,1,0,0,2.97e-04,1.922
11,249,1.24,4.44,3.19,3.57,0,0,1,1,0,0,5.06e-04,1.873
12,25,0.45,3.06,2.61,6.80,0,0,1,0,0,0,7.64e-04,2.083
13,37,1.00,4.26,3.26,4.28,0,0,1,0,0,0,6.48e-03,1.953
14,481,0.21,6.50,6.29,30.94,0,1,1,1,0,0,2.49e-04,1.921
15,246,1.43,6.48,5.05,4.54,0,1,1,1,0,0,1.81e-03,2.145
16,43,0.37,6.73,6.36,18.40,0,1,1,1,0,0,2.79e-05,2.010
17,333,0.60,4.22,3.63,7.04,0,0,1,0,0,0,2.76e-03,2.120
18,312,1.46,7.36,5.90,5.03,0,1,1,0,0,0,1.78e-03,1.840
19,6,0.20,5.92,5.72,29.72,0,1,1,1,0,0,7.48e-05,1.996
20,413,0.08,4.36,4.28,54.70,0,0,1,1,0,0,6.34e-04,2.153
