sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,358,0.65,7.31,6.66,11.27,1,1,1,0,1,0,5.46e-04,1.272
2,43,0.97,4.53,3.56,4.67,0,0,1,1,0,0,5.63e-03,1.517
3,24,0.47,3.77,3.31,8.09,0,0,1,0,1,0,2.15e-04,1.563
4,428,0.56,3.50,2.94,6.26,0,0,1,1,0,0,4.49e-04,1.830
5,487,1.15,3.89,2.74,3.38,0,0,1,1,0,0,3.39e-04,1.469
6,396,0.90,2.91,2.01,3.24,0,0,1,0,1,0,8.57e-05,1.234
7,302,0.56,16.43,15.87,29.48,1,1,1,1,0,0,5.85e-04,1.991
8,468,0.39,10.68,10.29,27.23,1,1,1,1,0,0,4.11e-04,1.513
9,310,0.61,3.07,2.46,5.02,0,0,1,1,0,0,1.37e-04,1.831
10,38,1.36,5.35,3.99,3.95,0,1,1,1,0,0,2.78e-03,1.452
11,16,0.90,6.87,5.97,7.64,0,1,1,1,0,0,5.54e-03,1.624
12,168,0.59,25.79,25.20,43.59,1,1,1,1,0,0,8.37e-04,1.997
13,339,0.32,3.75,3.43,11.80,0,0,1,0,0,0,2.22e-05,1.734
14,146,0.30,9.42,9.12,31.04,1,1,1,1,0,0,9.96e-05,1.467
15,118,0.34,26.96,26.62,78.86,1,1,1,1,1,0,8.94e-05,1.393
16,481,1.12,4.50,3.38,4.03,0,0,1,1,0,0,3.10e-04,1.864
17,172,0.42,10.17,9.74,23.92,1,1,1,1,0,0,8.11e-04,1.662
18,311,1.02,5.51,4.50,5.42,0,1,1,1,0,0,4.82e-04,1.545
19,51,0.53,2.01,1.47,3.77,0,0,1,1,0,0,1.54e-03,1.898
20,255,1.47,17.50,16.03,11.89,1,1,1,1,0,0,8.50e-04,2.013
