sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,358,0.45,1.84,1.38,4.06,0,0,1,0,1,0,3.68e-05,1.047
2,43,1.14,2.60,1.46,2.28,0,0,0,1,0,0,6.90e-03,1.589
3,24,0.76,3.80,3.05,5.03,0,0,1,0,1,0,2.39e-04,1.658
4,428,0.43,3.76,3.33,8.74,0,0,1,1,0,0,5.93e-04,1.766
5,487,1.07,1.96,0.88,1.82,0,0,0,0,0,0,2.57e-04,1.412
6,396,1.10,1.62,0.52,1.47,0,0,0,1,0,0,2.93e-05,1.012
7,302,0.61,31.64,31.03,51.73,1,1,1,1,0,0,1.42e-03,1.763
8,468,0.63,5.86,5.23,9.30,0,1,1,1,0,0,3.35e-04,1.787
9,310,0.70,2.78,2.08,3.95,0,0,1,1,0,0,6.20e-05,1.739
10,38,1.88,6.82,4.95,3.64,0,1,1,1,0,0,2.73e-03,1.449
11,16,1.03,2.51,1.48,2.43,0,0,0,1,0,0,6.00e-03,1.842
12,168,0.35,7.58,7.23,21.53,1,1,1,1,1,0,1.85e-03,1.832
13,339,0.30,2.56,2.25,8.50,0,0,1,0,0,0,7.38e-05,1.431
14,146,0.30,7.54,7.24,24.90,1,1,1,0,0,0,1.23e-03,1.720
15,118,0.31,1.49,1.18,4.75,0,0,1,0,1,0,5.04e-05,1.654
16,481,1.22,7.25,6.03,5.96,0,1,1,1,0,0,3.67e-04,1.683
17,172,0.37,10.74,10.37,29.34,1,1,1,1,0,0,3.11e-04,1.546
18,311,0.67,13.40,12.72,19.86,1,1,1,1,1,0,1.49e-03,1.899
19,51,0.49,3.53,3.04,7.22,0,0,1,1,0,0,1.63e-03,1.874
20,255,1.07,13.68,12.61,12.81,1,1,1,1,0,0,9.72e-04,2.087
