sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,363,2.27,7.54,5.26,3.31,0,1,1,0,0,0,2.45e-03,1.943
2,221,0.47,7.82,7.35,16.73,0,1,1,1,1,0,1.84e-03,1.606
3,399,2.16,5.93,3.77,2.75,0,1,0,1,1,0,5.31e-03,1.594
4,382,1.78,3.45,1.68,1.95,0,0,0,0,0,0,5.74e-03,1.413
5,121,1.20,4.52,3.32,3.76,0,0,1,1,1,0,3.49e-03,1.567
6,178,2.25,5.20,2.95,2.31,0,1,0,0,0,0,5.59e-03,1.635
7,203,4.66,5.50,0.84,1.18,0,1,0,0,1,0,6.49e-03,1.593
8,341,0.25,3.71,3.46,14.91,0,0,1,0,1,0,3.53e-03,1.933
9,139,1.53,5.08,3.55,3.31,0,1,1,1,0,0,3.32e-03,1.778
10,244,4.07,5.81,1.73,1.43,0,1,0,0,0,0,2.48e-03,1.602
11,176,2.69,5.12,2.42,1.90,0,1,0,1,0,0,2.18e-03,1.707
12,271,0.84,3.70,2.86,4.42,0,0,1,0,0,0,2.38e-03,1.751
13,245,0.48,8.85,8.37,18.52,1,1,1,1,0,0,7.51e-04,1.386
14,6,2.35,3.84,1.49,1.63,0,0,0,1,0,0,5.40e-03,1.339
15,208,1.57,5.68,4.11,3.62,0,1,1,0,1,0,1.61e-03,1.977
16,129,2.91,nan,nan,nan,0,0,0,1,0,0,2.73e-03,2.145
17,463,3.47,5.08,1.61,1.46,0,1,0,1,1,0,1.73e-03,1.929
18,137,3.13,10.87,7.75,3.48,0,1,1,1,0,0,1.72e-02,1.481
19,45,1.90,11.37,9.46,5.97,1,1,1,1,0,0,9.85e-03,1.858
20,403,0.43,2.60,2.16,5.99,0,0,1,1,0,0,5.53e-04,1.288
