sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,363,2.57,9.15,6.58,3.56,0,1,1,1,0,0,4.96e-03,1.710
2,221,0.50,3.60,3.10,7.18,0,0,1,0,1,0,2.32e-03,1.620
3,399,2.16,3.79,1.63,1.75,0,0,0,0,1,0,1.05e-03,1.550
4,382,1.75,3.42,1.67,1.96,0,0,0,0,0,0,5.11e-03,1.411
5,121,1.09,3.37,2.28,3.10,0,0,1,0,1,0,4.46e-03,1.588
6,178,1.75,3.80,2.05,2.17,0,0,0,0,0,0,5.53e-03,1.764
7,203,3.88,5.59,1.71,1.44,0,1,0,0,1,0,6.76e-03,1.630
8,341,0.42,5.72,5.30,13.65,0,1,1,0,1,0,1.70e-03,1.528
9,139,1.36,6.87,5.51,5.06,0,1,1,1,0,0,2.70e-03,1.992
10,244,3.29,6.49,3.20,1.97,0,1,0,1,0,0,3.50e-03,1.606
11,176,3.88,11.06,7.18,2.85,0,1,0,1,0,0,3.72e-03,1.490
12,271,0.83,5.67,4.84,6.82,0,1,1,0,1,0,2.42e-03,1.691
13,245,0.40,10.79,10.39,27.06,1,1,1,1,0,0,1.27e-03,1.538
14,6,2.79,3.82,1.03,1.37,0,0,0,1,0,0,4.42e-03,0.810
15,208,0.87,14.54,13.67,16.75,1,1,1,1,0,0,1.93e-03,1.847
16,129,2.01,3.99,1.98,1.98,0,0,0,1,0,0,2.34e-03,1.730
17,463,3.62,5.70,2.08,1.58,0,1,0,1,0,0,2.54e-03,2.049
18,137,2.76,9.78,7.02,3.55,0,1,1,1,0,0,1.70e-02,1.382
19,45,2.13,7.92,5.78,3.71,0,1,1,1,0,0,1.04e-02,1.865
20,403,0.43,11.93,11.50,27.45,1,1,1,0,1,0,4.49e-04,1.602
