mae_rcwa_o5_pct,mae_rcwa_o7_pct,mae_surr_pct,n_box_edge,n_violations,orig_index,peak_shift_nm,pixel_nm,seed,smallest_feature_nm,status,structure,target_no,twice_R_out_over_P,violated_rules,true_P,true_R_disk,true_R_in,true_R_out,true_W2,true_Wx,true_Wy,true_d1,true_d2,true_d_SiO2,true_phi,true_t1,true_t2,true_t_Cr,true_t_mid,true_theta,committed_P,committed_R_disk,committed_R_in,committed_R_out,committed_W2,committed_Wx,committed_Wy,committed_d1,committed_d2,committed_d_SiO2,committed_phi,committed_t1,committed_t2,committed_t_Cr,committed_t_mid,committed_theta
1.742,0.365,0.072,1,2,190,+0,6.63,42,19.6,confirmed,A,1,,Wx>0.9P;Wy>0.9P,413.39,,,,257.4,372.05,372.05,49.19,195.64,,,48.59,71.12,,14.74,33.09,424.31,,,,50.0,406.75,392.93,60.09,79.75,,,62.59,21.59,,19.6,19.86
2.839,3.955,0.56,1,0,381,-12,9.28,42,16.7,confirmed,A,2,,,482.79,,,,434.51,67.4,434.51,179.73,92.25,,,30.31,25.6,,13.38,40.33,593.77,,,,175.98,431.02,432.69,183.13,63.09,,,16.65,55.17,,21.94,42.06
2.738,2.937,1.216,1,0,451,+12,7.13,42,19.9,confirmed,A,3,,,399.99,,,,359.99,68.77,359.99,198.25,107.62,,,67.62,40.02,,10.29,37.55,456.17,,,,93.68,69.75,238.41,167.39,75.98,,,49.58,53.33,,19.87,12.6
2.543,2.642,0.049,3,2,456,+0,5.64,42,25.3,confirmed,A,4,,Wy>0.9P;W2>0.9P,318.75,,,,163.77,286.88,285.15,126.9,78.13,,,60.17,33.32,,5.59,30.85,360.75,,,,500.4,93.04,540.0,30.0,74.85,,,29.57,26.67,,25.34,45.0
7.559,7.58,0.175,1,1,482,+109,6.66,42,19.6,pretender,A,5,,Wx>0.9P,314.96,,,,283.46,283.46,283.46,46.78,183.89,,,42.55,38.88,,11.91,28.76,426.26,,,,355.83,527.85,342.51,161.92,148.92,,,42.9,19.61,,20.59,12.98
7.418,7.002,0.47,2,2,24,-48,8.86,42,24.2,pretender,A,6,,Wx>0.9P;W2>0.9P,596.46,,,,427.15,458.99,420.56,146.51,196.18,,,32.26,77.03,,24.32,38.28,567.31,,,,540.0,537.73,352.56,145.28,141.12,,,38.71,35.94,,24.15,37.34
3.258,3.451,0.473,2,1,16,+4,7.21,42,10.0,confirmed,A,7,,W2>0.9P,549.59,,,,180.9,156.1,494.63,144.92,173.68,,,17.95,12.03,,24.3,5.3,461.68,,,,507.51,68.04,185.45,158.51,98.53,,,42.88,10.0,,13.74,39.27
2.904,3.595,0.266,0,0,289,+4,7.18,42,25.1,confirmed,A,8,,,399.28,,,,359.35,264.22,239.02,97.24,173.98,,,51.57,39.1,,28.99,1.04,459.74,,,,99.79,349.8,274.34,89.62,40.17,,,39.72,50.1,,25.11,32.28
5.831,5.988,0.212,2,1,327,-28,6.73,42,10.0,pretender,A,9,,W2>0.9P,300.36,,,,270.33,270.33,152.98,94.85,138.22,,,55.19,68.87,,20.27,38.84,430.97,,,,493.48,358.83,79.22,131.66,133.44,,,68.59,10.0,,18.9,0.0
6.763,6.256,0.634,1,1,101,+323,8.04,42,24.1,pretender,A,10,,W2>0.9P,598.1,,,,538.29,53.47,398.81,52.56,54.12,,,32.65,13.49,,26.53,6.61,514.63,,,,508.41,352.85,409.3,65.6,179.44,,,73.23,80.0,,24.06,38.67
4.435,4.783,1.244,1,0,249,-24,6.12,42,19.1,confirmed,A,11,,,492.18,,,,106.65,58.06,330.85,155.45,44.08,,,47.62,53.6,,6.17,7.12,391.82,,,,147.45,186.75,315.69,139.36,39.56,,,19.06,75.77,,27.71,0.0
3.059,3.796,0.45,0,0,25,+12,7.88,42,19.4,confirmed,A,12,,,487.99,,,,144.99,439.19,257.31,41.43,38.65,,,13.47,22.48,,14.24,8.0,504.24,,,,151.28,287.59,205.89,41.65,121.52,,,41.05,25.27,,19.41,11.59
4.257,5.251,0.995,0,1,37,-16,5.36,42,25.1,confirmed,A,13,,W2>0.9P,564.76,,,,370.3,508.18,150.91,150.1,80.18,,,41.28,32.53,,20.31,27.92,342.83,,,,424.16,78.29,212.78,170.67,112.84,,,49.01,75.43,,25.12,35.17
6.498,7.523,0.21,2,1,481,+61,6.72,42,7.1,pretender,A,14,,W2>0.9P,409.38,,,,368.44,175.76,368.44,68.9,91.68,,,20.01,23.8,,12.9,41.53,430.22,,,,503.39,263.94,220.35,177.13,30.0,,,72.8,10.0,,7.07,41.57
6.477,6.998,1.425,1,0,246,+20,7.98,42,10.0,pretender,A,15,,,461.95,,,,57.79,265.89,415.76,180.63,105.93,,,37.09,45.01,,28.22,11.87,511.03,,,,291.21,281.02,411.18,172.16,95.65,,,46.04,10.0,,23.16,2.41
6.73,6.237,0.366,2,1,43,+28,5.89,42,14.4,pretender,A,16,,W2>0.9P,358.95,,,,188.05,323.05,304.96,76.06,98.39,,,16.57,62.58,,19.72,15.89,376.98,,,,535.62,298.87,182.53,109.47,39.2,,,41.64,77.31,,14.43,8.68
4.225,4.269,0.6,0,0,333,+20,7.56,42,25.2,confirmed,A,17,,,491.81,,,,442.63,152.16,367.37,96.21,183.2,,,34.3,16.6,,27.16,14.41,483.59,,,,262.21,313.87,283.09,92.66,42.36,,,44.6,40.3,,25.25,3.96
7.361,8.308,1.465,0,2,312,-16,5.7,42,16.9,pretender,A,18,,Wx>0.9P;W2>0.9P,463.01,,,,341.54,416.71,258.22,195.69,170.91,,,63.78,15.24,,24.74,41.92,364.65,,,,472.63,453.82,206.77,190.25,103.89,,,75.81,28.39,,16.93,34.67
